timestamp,host_disk_util,host_disk_queue,host_disk_read_bytes,host_disk_write_bytes
2026-08-19T10:10:20Z,0.9348747899831826,0.9247539803184017,3113.2090567245377,13391714.53716297
2026-08-19T10:10:25Z,0.934912189462719,0.8400208024963248,3113.333600032004,14144693.843261193
2026-08-19T10:10:30Z,0.9341120934512257,0.7665319838380477,3113.333600032004,14263819.818378206
2026-08-19T10:10:35Z,0.9364000000000088,0.7500000000000233,8028.16,13075578.88
2026-08-19T10:10:40Z,0.9376750140011094,0.7571405712456941,8028.802304184334,15954213.297063764
2026-08-19T10:10:45Z,1.0016801344107815,0.8060244819586114,20645.49163933115,17296170.253620293
2026-08-19T10:10:50Z,1.002040081603285,0.7979919196767465,21300.052002080083,16613221.328853153
2026-08-19T10:10:55Z,1.000920110413244,0.775773092771146,21301.75621074529,16773166.700004002
2026-08-19T10:11:00Z,0.9996799743979375,0.7744219537562816,16057.604608368672,17005986.398911912
2026-08-19T10:11:05Z,0.9999600015999668,0.7537698492060511,16055.677772889085,14653591.136354547
2026-08-19T10:11:10Z,0.9989598335733761,0.7708833413345956,819.3310929748759,17876001.92030725
2026-08-19T10:11:15Z,0.9981597055528925,0.7970475276044509,163.86621859497518,17847653.06449032
2026-08-19T10:11:20Z,0.9989198703844592,0.7926551186142118,163.85966315957916,18230862.26347162
2026-08-19T10:11:25Z,0.9993199183902286,0.7807336880425887,163.85966315957916,18303288.23458815
2026-08-19T10:11:30Z,0.9985198223786625,0.7823338800656118,163.85966315957916,17890361.883426014
2026-08-19T10:11:35Z,0.9983999999999855,0.7586399999999958,0.0,14885355.52
2026-08-19T10:11:40Z,0.9997599615938492,0.7546407425187689,0.0,17713774.363898225
2026-08-19T10:11:45Z,1.0005600896143134,0.7551208193311226,0.0,17412915.98655785
2026-08-19T10:11:50Z,0.9997999599919924,0.7505101020203614,0.0,17157807.241448287
2026-08-19T10:11:55Z,1.0006001200240071,0.7387477495499248,163.87277455491096,17004094.578915782
2026-08-19T10:12:00Z,1.0005600896143325,0.7528404544726992,327.7324371899504,15916817.410785727
2026-08-19T10:12:05Z,0.9979999999999959,0.7161999999999966,327.68,13190103.04
2026-08-19T10:12:10Z,0.9989198703844419,0.7298875865103701,2949.473936872425,15666458.535024203
2026-08-19T10:12:15Z,0.9997199663959807,0.7288874664959829,2949.473936872425,15694806.25675081
2026-08-19T10:12:20Z,0.9981197743729309,0.7249669960395413,3604.912589510742,15792958.194983399
2026-08-19T10:12:25Z,0.9997199663959543,0.703924470936508,3441.0529263511626,16623071.248549826
2026-08-19T10:12:30Z,0.9997199663959543,0.7125655078609529,8848.421810617274,16665019.322318679
2026-08-19T10:12:35Z,0.9996000000000146,0.6971199999999521,32604.160000000003,14309785.600000001
2026-08-19T10:12:40Z,1.0010006003602028,0.732919751851143,32623.73424054433,15737099.21953172
2026-08-19T10:12:45Z,1.002601560936575,0.8318591154692322,33607.364418651196,19107180.148088858
2026-08-19T10:12:50Z,1.0010006003602394,0.8358615169102033,34263.11787072244,19772933.840304185
2026-08-19T10:12:55Z,1.0030018010806525,0.8259355613367937,36886.131679007405,19914904.46267761
2026-08-19T10:13:00Z,1.0018010806483937,0.8208525115069113,10492.055233139885,19688013.76826096
2026-08-19T10:13:05Z,0.9992000000000059,0.7760800000000014,10485.76,18197872.64
2026-08-19T10:13:10Z,0.9981597055528578,0.6744279084653602,8684.909585533685,14799905.264842374
2026-08-19T10:13:15Z,0.9997999599920029,0.7053410682136333,8029.7659531906365,16797614.882976595
2026-08-19T10:13:20Z,0.9997999599919941,0.7329465893179138,13109.821964392877,17912605.241048206
2026-08-19T10:13:25Z,0.9993998799759816,0.735347069413874,19009.24184836967,17924731.82636527
2026-08-19T10:13:30Z,1.0025604096655323,0.7392782845254705,19991.67866858697,17771291.40662506
2026-08-19T10:13:35Z,1.002040081603277,0.7419496779871281,19989.279571182848,16819176.44705788
2026-08-19T10:13:40Z,1.0017202064247754,0.7045245429451342,20646.317558106974,14189427.531303758
2026-08-19T10:13:45Z,1.0020801664133263,0.9111528922313704,15402.192175374028,16604218.577486197
2026-08-19T10:13:50Z,1.003320398447808,0.9042685122215256,20810.177221266553,16667313.357602913
2026-08-19T10:13:55Z,1.0025604096655596,0.9166666666667176,104874.37990078414,17432088.33413346
2026-08-19T10:14:00Z,1.0048803904312373,0.9273541883350934,158118.24945995677,18286826.146091685
2026-08-19T10:14:05Z,1.0055597776088707,0.9505219791208512,180216.79132834688,18198127.754889805
2026-08-19T10:14:10Z,1.0048803904312549,0.7171373709896428,185973.277862229,14458725.978078248
2026-08-19T10:14:15Z,1.0052804224338148,0.7468597487798719,185645.57164573166,16649114.32914633
2026-08-19T10:14:20Z,1.000480038403059,0.7262981038482669,115516.44131530522,16170499.399951994
2026-08-19T10:14:25Z,0.9993199183902213,0.7162859543144942,77997.19966395968,16259466.655998722
2026-08-19T10:14:30Z,0.9989198703844521,0.6872024642957171,64888.42661119335,16323535.784294115
2026-08-19T10:14:35Z,0.9980399215968432,0.6866674666987082,54069.36277451098,16344021.440857634
